@relation 'weatherData-weka.filters.unsupervised.attribute.Remove-R1-2,6-7'

@attribute temperature numeric
@attribute pressure numeric
@attribute humidity numeric

@data
10.2,763.4,87
9.7,763.1,87
9.3,762.8,93
11.4,762.4,85
13,761.7,73
14.2,761.3,61
13.7,761,61
13.8,760,58
12.3,758.7,69
10.5,757.7,79
11.1,756.8,78
13.7,755.5,74
15.9,753.9,78
15.7,752.7,90
18.3,752,75
16.5,751.6,87
17.4,751.4,75
15.6,751.8,85
15.8,751.8,85
16.2,751.6,87
16.6,750.6,91
17.7,?,97
22.3,751.1,84
22.7,752.2,73
21.3,752.8,77
20,754.1,80
21.3,755.8,74
21.8,757,70
22.6,758.6,65
23.1,759.8,59
23.3,760.4,58
22.1,761.2,62
19.5,761.3,68
16.1,761.2,86
16.5,761.2,85
17.6,760.3,85
18.3,760,80
21.5,759.9,58
22.3,759.8,58
21.3,759.7,59
18.7,759.1,78
15.6,758.6,87
16,758.3,83
17,757.7,77
18.9,757.4,79
19.8,757,87
22.3,756.5,76
21.4,757.1,82
21.3,757.5,74
20,758,74
20.1,759,64
21,760.1,55
23.4,760.9,44
25.2,761.8,40
25.3,763,40
23.3,764.1,45
20.4,764.5,59
15.3,765,75
16.9,765.2,67
17.9,765,63
18.9,765.2,53
?,765.4,?
20.7,765.9,53
19.9,765.7,56
16.7,765,77
14.7,764.2,88
14.9,763.4,88
14.4,762.8,84
14.8,762.2,86
13.6,762,92
18,762.7,72
20.5,762.6,77
17.8,763,86
16.4,762.7,90
15.2,762.5,91
16.5,762.2,82
19.5,761.9,60
20.9,761.6,57
19.5,761.4,85
22.7,760.4,73
23.7,759.5,80
20.7,759.3,91
21.8,759.5,87
25.2,759.7,69
26.7,759.1,63
31.7,759.1,48
31.8,759.4,50
30.1,759.5,56
26.6,759.6,61
23.7,759.7,75
25.2,759.8,71
27.3,759.9,64
29.8,759.4,53
32.4,759.2,47
31.9,759.8,49
28.9,760.3,61
22.3,760.9,87
20.2,760.8,92
21.1,761,79
21,761.6,74
24.4,761.7,54
27.6,761.9,44
26.9,762.4,44
25.8,763.1,47
21.8,763.3,50
16.5,763.3,74
16.4,763,73
18.5,763,62
22.9,762.6,39
25,762.5,39
24.3,762.8,46
23.8,762.7,49
21.3,762.4,66
17.3,761.7,87
18,761.3,81
19.6,760.6,53
22,760,56
25.5,760.1,46
24.6,760.6,54
21.5,761,63
19.2,761.3,84
17.6,762.1,92
18.4,762.8,86
20.7,763,74
20.6,763.1,78
21.8,763.7,70
21.1,764.2,71
19.4,764.5,79
17.6,764.1,90
16.7,764,93
17.5,763.7,85
16.8,763.8,94
17.6,763.9,88
16.7,763.8,98
16.9,763.6,91
16.9,763,91
15.9,762.3,97
15.2,761.8,96
15.1,762,94
15.1,762.2,90
14.9,762.2,90
14.2,763.7,91
16.2,764,81
17.7,764.2,70
14.9,764.2,72
14,764.6,72
13.5,764.2,80
15,764.1,79
16.9,763.5,62
18.2,763,57
19.1,762.3,60
18.1,761.5,73
16.9,760.6,78
14.8,759.4,91
14.8,758,83
16.5,757.5,84
17.3,756.9,68
19.3,756,73
18.8,755.2,81
20.8,754.9,50
17.4,754,88
15.3,753.2,94
15.5,752.2,90
16.6,751.5,76
18.6,750.1,70
18.9,749.2,67
19.5,748.4,69
19.1,747.8,67
16.3,747.3,86
13.9,747.2,84
14.9,747.4,76
15.9,747.5,74
16.9,748,77
18.6,747.8,69
16.7,747.8,75
15.6,747.2,85
14.2,746.3,96
14,745.6,96
13.8,746.3,93
13.6,748,88
14.2,749,87
13.3,750.2,92
14.2,750.8,77
16,751.4,70
15.2,751.3,81
13.3,751.8,89
13.6,752.6,86
15.1,752.9,84
16.5,753.3,76
18.9,753.2,64
18.7,753,66
17.4,752.9,72
15.2,752.6,85
13.7,752.2,87
14.4,752.2,82
14.7,752.1,90
15.7,752.1,87
15.5,751.7,83
15.7,750.7,87
16.5,749.6,85
15.6,748.3,88
15.5,748.7,86
16,749.1,81
16.9,749.1,77
19,749.1,68
17.3,?,87
19.5,750.2,73
17.7,751.2,81
16.9,752.6,82
15.4,753.7,89
16.1,754.8,87
16.8,755.6,81
17.5,756.1,67
19.3,756.8,53
19.5,756.9,62
20,756.8,58
16.9,756.4,67
14.3,755.2,87
15.2,754.5,86
16.3,753.8,83
18,753.2,73
17.5,752.4,81
17.1,752.4,91
18.4,752.1,90
19.1,752,90
19.7,752.2,75
19.9,753.4,72
20.4,754.6,73
24,755.8,53
25.2,756.2,41
26.4,757.6,42
24.7,758.6,42
20.3,758.8,62
16.3,758.7,81
16.7,758.8,82
18.6,758.7,76
19.9,758.2,65
21.2,757.9,57
22.4,757.6,58
22.6,757.3,60
20.5,757.2,68
19.9,757.1,70
17.7,757.1,83
20.8,757.4,65
23,756.9,54
23.7,756.7,55
24.9,756.1,57
24.8,755.8,57
21.4,755.5,70
18.1,754.6,85
18.3,754.3,82
19.5,753.7,76
21.3,753.4,64
23.6,752.8,57
21.4,753.5,70
21.9,753.3,70
20.9,753.4,80
20.7,753.4,85
21.5,753.6,78
24.7,754.2,67
27.2,754.6,58
27.3,755.8,53
27.7,757.2,53
25.9,758.3,50
23.4,759.3,54
19.3,760.4,70
20,761.1,67
20.9,762.1,63
23.9,762.1,51
25.4,762.7,46
27.4,763.8,39
26,764.8,43
23,765.5,48
17.4,765.8,87
16.8,765.8,87
18.7,765.8,72
22.7,765.8,63
25.2,765.8,53
23.9,766.5,50
22.7,767,47
20.2,767.1,58
17.2,767.4,70
17.1,767.4,75
18.8,767.2,66
21.3,767,54
23.7,766.9,50
23.1,767.1,57
23.8,766.9,50
20.5,767,60
16.1,766.7,65
15.1,766.8,69
16.7,766.4,62
21.9,766.3,48
24.2,765.8,43
23,765.9,57
20.7,766.3,74
18.1,766.3,83
15.3,765.9,87
15.3,765.8,84
16.2,765.4,71
18.1,765.2,59
19.1,765.2,62
20.7,765.8,49
19.4,765.7,60
15.9,765.2,83
14.1,764.8,85
14.5,764.2,75
15.9,763.6,63
17.8,763,64
20.3,761.8,74
19.3,761.2,88
21,760.3,70
22,759.7,59
18.3,760.8,71
18.7,761,69
16.7,761.5,89
19.7,761.1,72
20.8,761,65
19.2,760.5,?
17.2,759.8,82
14.8,759.4,87
16.3,760,52
15.9,761,53
16.2,761.8,52
17.9,762.4,43
18.7,763.2,39
18.6,764.2,40
17.7,765.1,42
15.7,765.6,50
10.8,765.4,85
9.7,765.1,87
11.8,764.3,69
?,763.5,?
15.3,762.6,54
17.1,761.6,54
16.1,761.1,61
13.5,760.4,73
12.1,759.5,83
12.2,758.7,85
